letter,weight,rel_weight,center,rel_center,inertia,rel_inertia
ඵ,993.0,0.5253968253968254,"(22.46022155085599, 25.83484390735146)","(0.5234200378257559, 0.564428270621624)","(138858.91440080563, 129770.67875125879)","(36.64790562174865, 34.249321391200525)"
ශ,1003.0,0.6668882978723404,"(24.61814556331007, 16.453639082751746)","(0.5134379470284798, 0.4985044865403789)","(80482.59421734796, 178784.74975074778)","(24.894090385817492, 55.299953526368014)"
හ,1028.0,0.6556122448979592,"(24.38035019455253, 16.558365758754864)","(0.48709062905317774, 0.5018827664114472)","(87289.49805447471, 200762.28307392995)","(25.485984833423274, 58.616724985089036)"
ැ,348.0,0.6444444444444445,"(8.14367816091954, 15.198275862068966)","(0.4202163624070318, 0.4895957193816885)","(31073.31896551724, 6402.816091954023)","(25.386698501239575, 5.231058898655248)"
ඇ,1185.0,0.4949874686716792,"(28.051476793248945, 21.10717299578059)","(0.48306208559373115, 0.49041885355562415)","(132149.38902953584, 259679.85991561186)","(26.361338326258895, 51.80128863267741)"
ප,867.0,0.6608231707317073,"(20.862745098039216, 16.6159169550173)","(0.4965686274509804, 0.5037392566134613)","(76683.10034602076, 119898.66666666666)","(28.348650774869043, 44.324830560690074)"
ඐ,1732.0,0.5883152173913043,"(44.76905311778291, 15.890877598152425)","(0.48097860568992207, 0.48035089026298144)","(130628.37586605082, 1243695.6212471132)","(13.767746191615812, 131.08090443160975)"
ඣ,1739.0,0.5321297429620563,"(39.2259919493962, 25.142610695802187)","(0.509679892658616, 0.5748240641857664)","(243428.63254744108, 779074.1851638872)","(31.92506656359883, 102.17366362805079)"
ෘ,486.0,0.7286356821589205,"(12.944444444444445, 15.897119341563785)","(0.5429292929292929, 0.5320399764844209)","(34512.85596707819, 19789.5)","(25.19186566940014, 14.444890510948905)"
ජ,969.0,0.5627177700348432,"(22.15892672858617, 24.607843137254903)","(0.5289731682146542, 0.5758010521281683)","(111974.98039215688, 135495.52528379767)","(32.50362275534307, 39.33106684580484)"
ඖ,1774.0,0.5357897916037451,"(34.616121758737314, 24.622322435174745)","(0.4423173915623331, 0.5624362484565415)","(222872.95603156704, 848767.5789177002)","(28.654275653325666, 109.12414231392391)"
ඓ,1698.0,0.47763713080168774,"(42.217903415783276, 27.948174322732626)","(0.5284346591767086, 0.6124585073348324)","(195359.4393404005, 906339.3757361601)","(23.63409621829186, 109.64667018342125)"
ෳ,585.0,0.6956004756242569,"(15.94017094017094, 14.48034188034188)","(0.5335775335775336, 0.48144078144078145)","(37528.023931623924, 33734.90598290599)","(22.311548116304355, 20.05642448448632)"
ඍ,1412.0,0.6394927536231884,"(34.61543909348442, 17.64872521246459)","(0.49434469255124147, 0.5370556520149868)","(116557.76770538244, 597958.1834277617)","(20.148274452097226, 103.36355806875741)"
ෞ,1261.0,0.5388888888888889,"(37.97858842188739, 15.324345757335449)","(0.4802414080764596, 0.4939429571494982)","(79736.34258524979, 764120.4218873907)","(11.417002088380555, 109.41014059097805)"
ඔ,1275.0,0.6589147286821705,"(22.872156862745097, 23.584313725490198)","(0.49709447415329766, 0.5377217553688143)","(185545.68627450985, 192502.16156862746)","(47.8951177786551, 49.690800611416485)"
ණ,1452.0,0.5,"(33.10950413223141, 27.314738292011018)","(0.4939923712650986, 0.6119706579537446)","(146001.16460055098, 444737.58884297515)","(23.204253750882227, 70.68302429163623)"
ෛ,1377.0,0.6557142857142857,"(35.71096586782861, 16.00072621641249)","(0.5030574763453423, 0.5172664212556032)","(92354.99927378361, 571402.964415396)","(15.923275736859244, 98.5177524854131)"
ෝ,1290.0,0.3719723183391003,"(35.84961240310078, 32.669767441860465)","(0.5201434687029967, 0.6333953488372093)","(207641.32093023256, 586522.8248062015)","(28.73928317373461, 81.17962973096215)"
උ,790.0,0.45014245014245013,"(19.753164556962027, 24.344303797468353)","(0.4935043304463691, 0.5305523590333716)","(143222.3493670886, 93494.86708860761)","(40.38983343685522, 26.366290775129052)"
ෲ,974.0,0.6717241379310345,"(26.519507186858316, 15.893223819301848)","(0.5208062691195575, 0.5319008506893518)","(69504.89527720737, 215113.12936344964)","(20.803620256572096, 64.38585135092775)"
ල,1126.0,0.5560493827160494,"(23.79662522202487, 21.933392539964476)","(0.5181051186823834, 0.475758921362829)","(188398.00444049735, 190348.42717584368)","(46.51802578777712, 46.99961164835646)"
ේ,978.0,0.36182019977802443,"(25.273006134969325, 31.242331288343557)","(0.4667885795186409, 0.6048466257668711)","(171821.56748466252, 203016.10736196325)","(31.75999398977126, 37.52608269167528)"
ඏ,1232.0,0.6416666666666667,"(30.58116883116883, 15.719967532467532)","(0.5013757429011666, 0.47483766233766234)","(98154.38879870131, 353521.88311688305)","(21.2271602073316, 76.4536944456927)"
ය,796.0,0.5784883720930233,"(23.0678391959799, 18.66959798994975)","(0.5254247427614261, 0.5699870319338629)","(61162.10427135678, 120048.33668341712)","(21.288584849062577, 41.78501102799064)"
ත,1049.0,0.6427696078431373,"(25.90562440419447, 16.259294566253576)","(0.4981124880838894, 0.492235308588825)","(87781.47187797903, 203759.65681601525)","(24.215578449097663, 56.20956050096972)"
ථ,867.0,0.46991869918699186,"(22.836216839677046, 26.57670126874279)","(0.5459054209919262, 0.5812886651986998)","(127353.64936562863, 109946.74279123415)","(34.364179537406535, 29.667226872971977)"
ඳ,932.0,0.4941675503711559,"(22.030042918454935, 19.49570815450644)","(0.5257510729613734, 0.41101573676680975)","(146444.98283261806, 112095.1587982833)","(38.56860227353649, 29.522032867601606)"
ආ,1156.0,0.4914965986394558,"(27.96107266435986, 18.726643598615915)","(0.4902013211701793, 0.4323571609418516)","(114355.61937716266, 267527.2482698962)","(23.3378815055434, 54.59739760610127)"
ඞ,1180.0,0.5838693715982187,"(23.733050847457626, 22.891525423728815)","(0.4941967575534267, 0.5212267958030671)","(186364.1152542373, 201982.91101694922)","(45.92511465111811, 49.774004686286155)"
එ,1016.0,0.5131313131313131,"(24.213582677165356, 25.84251968503937)","(0.539850759934078, 0.5646027201145312)","(138176.80314960633, 138886.65255905516)","(34.88432293602786, 35.063532582442605)"
ධ,958.0,0.5063424947145877,"(22.61064718162839, 24.0741127348643)","(0.5025731902704277, 0.5493836365443882)","(173007.73799582466, 162603.77139874737)","(45.70878150484139, 42.960045283684906)"
ඎ,1898.0,0.6178385416666666,"(47.89146469968388, 17.99367755532139)","(0.4935943652598303, 0.5481831469458514)","(151551.92413066386, 1566761.641728135)","(14.799992590885143, 153.00406657501318)"
අ,837.0,0.5386100386100386,"(20.113500597371566, 18.990442054958184)","(0.5309305721492101, 0.4387912696331264)","(88305.92353643964, 73686.2174432497)","(28.18574003716554, 23.51937996911896)"
ඹ,1246.0,0.6439276485788114,"(22.908507223113965, 23.193418940609952)","(0.49792061870713555, 0.5284147366811893)","(177440.386035313, 188607.56982343495)","(45.80288746394243, 48.68548524094862)"
න,997.0,0.6358418367346939,"(25.504513540621865, 16.695085255767303)","(0.5105106987629555, 0.5062930727666872)","(82755.30591775326, 170089.22968906717)","(24.162133114672482, 49.66108896031158)"
ඝ,1003.0,0.6965277777777777,"(23.48554336989033, 17.02791625124626)","(0.5110350765884166, 0.5170295564918148)","(80587.2183449651, 151560.54037886337)","(26.430704606416892, 49.70827824823331)"
ට,884.0,0.5014180374361883,"(20.93552036199095, 23.36651583710407)","(0.49838800904977376, 0.5325360913596208)","(155371.2488687783, 125673.32466063347)","(44.01451809313833, 35.601508402445745)"
ද,704.0,0.4782608695652174,"(17.446022727272727, 22.33096590909091)","(0.530516862170088, 0.47402146464646466)","(111759.88494318182, 46207.94886363637)","(35.59232004559931, 14.715907281412855)"
ඕ,1556.0,0.677995642701525,"(22.78020565552699, 27.49293059125964)","(0.4950046739892498, 0.5298586118251928)","(321066.92223650374, 222348.83033419025)","(69.40486862008295, 48.065030335968494)"
ඤ,1687.0,0.5023823704586063,"(38.84410195613515, 18.398340248962654)","(0.5256125271685437, 0.3866297833102812)","(214752.3153526971, 709615.9988144635)","(28.845173318025132, 95.31443906171437)"
ෟ,495.0,0.5885850178359097,"(16.943434343434344, 13.224242424242425)","(0.5694083694083695, 0.43658008658008657)","(31800.109090909093, 30308.41616161616)","(18.90612906712788, 18.019272390972745)"
ඟ,1153.0,0.6321271929824561,"(29.20294882914137, 15.999132697311362)","(0.5036240862346674, 0.48384299023585037)","(96150.99913269731, 294156.50997398095)","(22.501989031756917, 68.8407465420035)"
ී,2.0,1.0,"(1.0, 1.5)","(nan, 0.5)","(0.5, 0.0)","(0.1, 0.0)"
ෙ,686.0,0.692929292929293,"(17.32069970845481, 16.026239067055393)","(0.5100218658892128, 0.5181461747260481)","(45947.527696793004, 53755.44606413993)","(23.10081834931775, 27.026368056380054)"
ඉ,1044.0,0.5931818181818181,"(20.60727969348659, 20.738505747126435)","(0.502750761371451, 0.4590350173750334)","(145113.61206896548, 107846.98467432949)","(41.03891744031829, 30.499712860387298)"
ග,932.0,0.6331521739130435,"(23.333690987124463, 16.600858369098713)","(0.4963042441583214, 0.5032534957773779)","(80453.51931330473, 157927.22210300426)","(25.62213990869577, 50.29529366337715)"
ඩ,1099.0,0.5556117290192113,"(23.280254777070063, 23.4294813466788)","(0.4951167728237792, 0.534035270159019)","(184637.28480436763, 190341.6815286624)","(46.56678053073585, 48.005468229170845)"
ච,1036.0,0.547568710359408,"(22.456563706563706, 22.732625482625483)","(0.49898985364101645, 0.5174434638720353)","(166048.93725868725, 150243.0453667954)","(43.87026083452768, 39.69433166890236)"
ෂ,956.0,0.7286585365853658,"(21.14121338912134, 16.67468619246862)","(0.5035303347280335, 0.5056350384667296)","(75777.82740585772, 125301.93619246864)","(28.01398425355184, 46.32234240017325)"
ො,1082.0,0.5464646464646464,"(31.266173752310536, 16.040665434380777)","(0.465633442343239, 0.5186436356683026)","(72158.21072088723, 442397.34195933456)","(13.728731111279915, 84.16996612620521)"
ඬ,1304.0,0.5513742071881607,"(27.976993865030675, 23.447085889570552)","(0.49957396046353103, 0.534454425942156)","(195660.3489263804, 305707.309815951)","(40.143690793266394, 62.722057820260765)"
ඨ,940.0,0.47474747474747475,"(24.203191489361704, 27.31382978723404)","(0.5396091044037605, 0.598041586073501)","(141860.42021276595, 139880.1904255319)","(35.81429442382377, 35.31436264214388)"
ඒ,1153.0,0.4914748508098892,"(25.951431049436252, 28.836079791847354)","(0.5544762455430278, 0.556721595836947)","(216708.01908065914, 167017.28013876843)","(45.94191627743463, 35.40752175933187)"
භ,1055.0,0.6340144230769231,"(26.748815165876778, 16.519431279620854)","(0.5048787287426819, 0.5006268154716405)","(88039.35165876779, 216736.43601895732)","(23.615705917051447, 58.13745601366881)"
ඛ,1211.0,0.6122345803842265,"(23.303881090008257, 23.69942196531792)","(0.4956418020001835, 0.5404624277456648)","(188726.5895953758, 198950.1717588769)","(47.598131045492, 50.17658808546707)"
බ,1183.0,0.6113695090439276,"(22.703296703296704, 23.44632290786137)","(0.4932567432567433, 0.534436259710985)","(184718.34150464923, 187614.8571428571)","(47.68155433780311, 48.42923519433585)"
ෆ,768.0,0.5581395348837209,"(21.928385416666668, 14.8671875)","(0.4982948908730159, 0.44732862903225806)","(68142.453125, 133711.06119791666)","(23.718222459101984, 46.54057124883977)"
ඡ,1024.0,0.59465737514518,"(22.626953125, 24.939453125)","(0.540673828125, 0.5838891006097561)","(111670.24609375, 141559.49609375)","(32.41516577467344, 41.09129059325109)"
ෑ,367.0,0.6796296296296296,"(8.310626702997276, 15.166212534059946)","(0.43003686488219267, 0.48849008738137745)","(31102.86103542234, 6652.58855585831)","(25.410834179266615, 5.435121369165286)"
ා,319.0,0.6111111111111112,"(10.501567398119123, 15.037617554858935)","(0.5589157293011249, 0.5013434841021048)","(25857.548589341695, 7095.749216300941)","(22.19532067754652, 6.090771859485787)"
ඌ,1288.0,0.4148148148148148,"(34.05512422360248, 21.231366459627328)","(0.48610476799415414, 0.45980378317334836)","(195239.05279503105, 542563.0861801242)","(28.77085953360316, 79.95329887711821)"
ඈ,1204.0,0.5029239766081871,"(28.403654485049834, 21.177740863787374)","(0.4893509729473185, 0.4921400210679847)","(132545.96345514953, 269055.8239202658)","(26.440447527458513, 53.67161857575619)"
ස,949.0,0.6590277777777778,"(23.47945205479452, 17.01264488935722)","(0.5108966376089664, 0.516536931914749)","(81553.8482613277, 150250.84931506842)","(26.747736392695213, 49.27873050674596)"
ඊ,882.0,0.5526315789473685,"(19.22562358276644, 22.010204081632654)","(0.49258442115584966, 0.5124440019910403)","(129118.90816326531, 90834.1009070295)","(40.249036210494175, 28.3148693600466)"
෴,782.0,0.46686567164179105,"(35.44245524296675, 15.255754475703325)","(0.5218553824691932, 0.5939897698209718)","(24714.84910485934, 217242.91048593342)","(4.832782382647505, 42.480037247933794)"
ක,1151.0,0.6660879629629629,"(27.695047784535188, 16.543874891398783)","(0.5036801468780224, 0.5014153190773801)","(96257.53431798436, 249933.9617723719)","(24.430846273600093, 63.43501567826698)"
ඪ,1078.0,0.5207729468599034,"(24.74860853432282, 26.500927643784788)","(0.5277468563182849, 0.5795665373587452)","(153857.49907235627, 171354.87291280148)","(37.15467256033718, 41.380070734798714)"
ම,1215.0,0.6421775898520085,"(22.31275720164609, 22.896296296296295)","(0.49564551631735093, 0.5213403880070546)","(170838.93333333332, 170667.1522633745)","(45.13578159401145, 45.090396899174245)"
ර,743.0,0.4914021164021164,"(19.545087483176314, 24.660834454912518)","(0.5298596423764661, 0.5770935232905492)","(93814.53028263795, 76438.23956931358)","(30.658343229620243, 24.979816852716855)"
ව,1014.0,0.5614617940199336,"(20.707100591715978, 22.76429980276134)","(0.48066099004185314, 0.5181976143514605)","(165554.66765286, 143164.00887573962)","(45.821939566249654, 39.624691081023975)"
ළ,1119.0,0.5920634920634921,"(22.005361930294907, 22.693476318141197)","(0.5123259007389002, 0.4930335526850272)","(180559.86237712245, 138991.9678284182)","(47.65369817290115, 36.683021332388016)"
